2020.06.20 14:14:22.087 INFO  View.MyViewController - User generated new maze
2020.06.20 14:14:22.087 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:14:22.156 INFO  View.MyViewController - User generated new maze
2020.06.20 14:15:08.271 INFO  Model.MyModel - Maze-Generating server stopped
2020.06.20 14:15:08.273 INFO  Model.MyModel - Solve-Maze server stopped
2020.06.20 14:19:09.553 INFO  Model.MyModel - Maze-Generating server started
2020.06.20 14:19:09.557 INFO  Model.MyModel - Solve-Maze server started
2020.06.20 14:19:10.402 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:19:10.565 INFO  View.MyViewController - User generated new maze
2020.06.20 14:19:10.565 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:19:10.635 INFO  View.MyViewController - User generated new maze
2020.06.20 14:19:27.772 INFO  View.MyViewController - user requested solution
2020.06.20 14:19:27.928 INFO  Model.MyModel - Server generated solution
2020.06.20 14:21:37.072 INFO  Model.MyModel - Maze-Generating server started
2020.06.20 14:21:37.075 INFO  Model.MyModel - Solve-Maze server started
2020.06.20 14:21:38.150 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:21:38.470 INFO  View.MyViewController - User generated new maze
2020.06.20 14:21:38.470 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:21:38.564 INFO  View.MyViewController - User generated new maze
2020.06.20 14:21:46.558 INFO  Model.MyModel - Maze-Generating server stopped
2020.06.20 14:21:46.558 INFO  Model.MyModel - Solve-Maze server stopped
2020.06.20 14:23:47.483 INFO  Model.MyModel - Maze-Generating server started
2020.06.20 14:23:47.487 INFO  Model.MyModel - Solve-Maze server started
2020.06.20 14:23:48.563 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:23:48.704 INFO  View.MyViewController - User generated new maze
2020.06.20 14:23:48.704 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:23:48.776 INFO  View.MyViewController - User generated new maze
2020.06.20 14:24:04.127 INFO  Model.MyModel - Maze-Generating server stopped
2020.06.20 14:24:04.128 INFO  Model.MyModel - Solve-Maze server stopped
2020.06.20 14:25:03.282 INFO  Model.MyModel - Maze-Generating server started
2020.06.20 14:25:03.300 INFO  Model.MyModel - Solve-Maze server started
2020.06.20 14:25:04.295 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:25:04.430 INFO  View.MyViewController - User generated new maze
2020.06.20 14:25:04.431 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:25:04.500 INFO  View.MyViewController - User generated new maze
2020.06.20 14:25:12.281 INFO  Model.MyModel - Maze-Generating server stopped
2020.06.20 14:25:12.282 INFO  Model.MyModel - Solve-Maze server stopped
2020.06.20 14:25:33.028 INFO  Model.MyModel - Maze-Generating server started
2020.06.20 14:25:33.037 INFO  Model.MyModel - Solve-Maze server started
2020.06.20 14:25:34.021 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:25:34.168 INFO  View.MyViewController - User generated new maze
2020.06.20 14:25:34.168 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:25:34.237 INFO  View.MyViewController - User generated new maze
2020.06.20 14:25:39.192 INFO  Model.MyModel - Maze-Generating server stopped
2020.06.20 14:25:39.193 INFO  Model.MyModel - Solve-Maze server stopped
2020.06.20 14:26:09.076 INFO  Model.MyModel - Maze-Generating server started
2020.06.20 14:26:09.078 INFO  Model.MyModel - Solve-Maze server started
2020.06.20 14:26:10.004 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:26:10.154 INFO  View.MyViewController - User generated new maze
2020.06.20 14:26:10.155 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
2020.06.20 14:26:10.234 INFO  View.MyViewController - User generated new maze
2020.06.20 14:28:49.097 INFO  Model.MyModel - Maze-Generating server started
2020.06.20 14:28:49.113 INFO  Model.MyModel - Solve-Maze server started
2020.06.20 14:28:50.097 INFO  Model.MyModel - client connected at: tom-Vostro-14-5459/127.0.1.1 ,port: 5400
